SQL_book_id,SQL_title,SQL_price_gbp,SQL_price_inr,SQL_rating,SQL_in_stock,SQL_category_id,SQL_category_name,PANDAS_book_id,PANDAS_title,PANDAS_price_gbp,PANDAS_price_inr,PANDAS_rating,PANDAS_in_stock,PANDAS_category_id,PANDAS_category_name
46,A Flight of Arrows (The Pathfinders #2),55.53,5858.42,5,1,1,Historical Fiction,46,A Flight of Arrows (The Pathfinders #2),55.53,5858.42,5,1,1,Historical Fiction
69,A Spy's Devotion (The Regency Spies of London #1),16.97,1790.33,5,1,1,Historical Fiction,69,A Spy's Devotion (The Regency Spies of London #1),16.97,1790.33,5,1,1,Historical Fiction
64,Between Shades of Gray,20.79,2193.34,5,1,1,Historical Fiction,64,Between Shades of Gray,20.79,2193.34,5,1,1,Historical Fiction
48,Mrs. Houdini,30.25,3191.38,5,1,1,Historical Fiction,48,Mrs. Houdini,30.25,3191.38,5,1,1,Historical Fiction
57,The Passion of Dolssa,28.32,2987.76,5,1,1,Historical Fiction,57,The Passion of Dolssa,28.32,2987.76,5,1,1,Historical Fiction
60,The Red Tent,35.66,3762.13,5,1,1,Historical Fiction,60,The Red Tent,35.66,3762.13,5,1,1,Historical Fiction
59,Voyager (Outlander #3),21.07,2222.89,5,1,1,Historical Fiction,59,Voyager (Outlander #3),21.07,2222.89,5,1,1,Historical Fiction
65,While You Were Mine,41.32,4359.26,5,1,1,Historical Fiction,65,While You Were Mine,41.32,4359.26,5,1,1,Historical Fiction
52,A Paris Apartment,39.01,4115.55,4,1,1,Historical Fiction,52,A Paris Apartment,39.01,4115.55,4,1,1,Historical Fiction
68,Lost Among the Living,27.7,2922.35,4,1,1,Historical Fiction,68,Lost Among the Living,27.7,2922.35,4,1,1,Historical Fiction
