book_id,title,price_gbp,price_inr,rating
26,Boar Island (Anna Pigeon #19),59.48,6275.14,3
39,The No. 1 Ladies' Detective Agency (No. 1 Ladies' Detective Agency #1),57.7,6087.35,4
8,A Year in Provence (Provence #1),56.88,6000.84,4
14,The Past Never Ends,56.5,5960.75,4
61,The Last Painting of Sara de Vos,55.55,5860.52,2
46,A Flight of Arrows (The Pathfinders #2),55.53,5858.42,5
23,Murder at the 42nd Street Library (Raymond Ambler #1),54.36,5734.98,4
17,The Last Mile (Amos Decker #2),54.21,5719.16,2
43,1st to Die (Women's Murder Club #1),53.98,5694.89,1
44,Tipping the Velvet,53.74,5669.57,1
30,The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1),52.3,5517.65,5
62,The Guernsey Literary and Potato Peel Pie Society,49.53,5225.42,1
2,Full Moon over Noahâs Ark: An Odyssey to Mount Ararat and Beyond,49.43,5214.86,4
3,See America: A Celebration of Our National Parks & Treasured Sites,48.87,5155.78,3
20,A Time of Torment (Charlie Parker #14),48.35,5100.92,5
12,Sharp Objects,47.82,5045.01,4
63,Girl in the Blue Coat,46.83,4940.56,2
50,Glory over Everything: Beyond The Kitchen House,45.84,4836.12,3
1,It's Only the Himalayas,45.17,4765.44,2
6,A Summer In Europe,44.34,4677.87,2
16,The Murder of Roger Ackroyd (Hercule Poirot #4),44.1,4652.55,4
35,The Exiled,43.45,4583.98,3
65,While You Were Mine,41.32,4359.26,5
