title,price_gbp,price_inr,rating
Blood Defense (Samantha Brinkman #1),20.3,2141.65,3
"Love, Lies and Spies",20.55,2168.02,2
Between Shades of Gray,20.79,2193.34,5
Delivering the Truth (Quaker Midwife Mystery #1),20.89,2203.9,4
Voyager (Outlander #3),21.07,2222.89,5
The Silkworm (Cormoran Strike #2),23.05,2431.78,5
The Road to Little Dribbling: Adventures of an American in Britain (Notes From a Small Island #2),23.21,2448.66,1
Career of Evil (Cormoran Strike #3),24.72,2607.96,2
The Mysterious Affair at Styles (Hercule Poirot #1),24.8,2616.4,4
What Happened on Beale Street (Secrets of the South Mysteries #2),25.37,2676.54,5
Extreme Prey (Lucas Davenport #26),25.4,2679.7,3
Starlark,25.83,2725.06,3
"1,000 Places to See Before You Die",26.08,2751.44,5
Girl With a Pearl Earring,26.77,2824.24,1
Poisonous (Max Revere Novels #3),26.8,2827.4,3
The Widow,27.26,2875.93,2
Lost Among the Living,27.7,2922.35,4
The Marriage of Opposites,28.08,2962.44,4
The Passion of Dolssa,28.32,2987.76,5
Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,29.69,3132.3,3
Mrs. Houdini,30.25,3191.38,5
The Great Railway Bazaar,30.54,3221.97,1
World Without End (The Pillars of the Earth #2),32.97,3478.34,4
The Secret Healer,34.56,3646.08,3
Most Wanted,35.28,3722.04,3
The Red Tent,35.66,3762.13,5
Vagabonding: An Uncommon Guide to the Art of Long-Term World Travel,36.94,3897.17,2
The House by the Lake,36.95,3898.23,1
Under the Tuscan Sun,37.33,3938.31,3
The Invention of Wings,37.34,3939.37,1
In the Woods (Dublin Murder Squad #1),38.38,4049.09,2
Neither Here nor There: Travels in Europe,38.95,4109.23,3
A Paris Apartment,39.01,4115.55,4
